Date & Time,Company Name,Percent Change
11:12 AM 02.06.2022,Duke Realty,0.23%
11:12 AM 02.06.2022,DuPont de Nemours,0.90%
11:12 AM 02.06.2022,DXC Technology,0.38%
11:12 AM 02.06.2022,Eastman Chemical Company,0.99%
11:12 AM 02.06.2022,Eaton Corporation,0.83%
11:12 AM 02.06.2022,eBay,0.30%
11:12 AM 02.06.2022,Ecolab,4.29%
11:12 AM 02.06.2022,Edison International,-0.36%
11:12 AM 02.06.2022,Edwards Lifesciences,1.57%
11:12 AM 02.06.2022,Electronic Arts,-0.97%
11:12 AM 02.06.2022,Eli Lilly and,-3.51%
11:12 AM 02.06.2022,Emerson Electric,0.39%
11:12 AM 02.06.2022,Enphase Energy,7.71%
11:12 AM 02.06.2022,Entergy,-0.84%
11:12 AM 02.06.2022,EOG Resources,-0.29%
11:12 AM 02.06.2022,Equifax,1.62%
11:11 AM 02.06.2022,Equinix,0.44%
11:12 AM 02.06.2022,Equity Residential,0.03%
11:10 AM 02.06.2022,Essex Property Trust,-0.50%
11:12 AM 02.06.2022,Estée Lauder Companies,3.06%
11:12 AM 02.06.2022,Etsy,6.26%
11:08 AM 02.06.2022,Everest Reinsurance Group,-0.09%
11:12 AM 02.06.2022,Evergy,-0.72%
11:12 AM 02.06.2022,Eversource Energy,-0.94%
11:12 AM 02.06.2022,Exelon,-0.73%
11:12 AM 02.06.2022,Expedia,2.92%
11:12 AM 02.06.2022,Expeditors International of Washington,-0.30%
11:12 AM 02.06.2022,Extra Space Storage,-0.41%
11:12 AM 02.06.2022,ExxonMobil,-0.02%
11:11 AM 02.06.2022,F5 Networks,1.74%
11:12 AM 02.06.2022,Fastenal,1.06%
11:12 AM 02.06.2022,FedEx,0.74%
11:12 AM 02.06.2022,Fidelity National Information Services,0.59%
11:12 AM 02.06.2022,Fifth Third Bancorp,0.71%
11:12 AM 02.06.2022,First Republic Bank,0.42%
11:12 AM 02.06.2022,FirstEnergy,-1.65%
11:12 AM 02.06.2022,Fiserv,0.09%
11:09 AM 02.06.2022,FleetCor Technologies,0.53%
11:09 AM 02.06.2022,FMC,0.90%
11:09 AM 02.06.2022,Ford Motor,1.96%
11:09 AM 02.06.2022,Fortinet,2.55%
11:09 AM 02.06.2022,Fortive,0.96%
11:09 AM 02.06.2022,Fortune Brands Home & Security,1.99%
11:09 AM 02.06.2022,Fox,-1.03%
11:09 AM 02.06.2022,Fox,-0.87%
11:09 AM 02.06.2022,Franklin Resources,0.21%
11:09 AM 02.06.2022,Freeport-McMoRan,4.95%
11:09 AM 02.06.2022,Garmin,1.26%
11:09 AM 02.06.2022,Gartner,1.97%
11:09 AM 02.06.2022,Generac Holdings,7.16%
11:09 AM 02.06.2022,General Dynamics,-0.29%
11:09 AM 02.06.2022,General Electric,-0.09%
11:08 AM 02.06.2022,General Mills,-1.88%
11:09 AM 02.06.2022,General Motors,1.64%
11:09 AM 02.06.2022,Genuine Parts,-0.50%
11:09 AM 02.06.2022,Gilead Sciences,-3.27%
11:09 AM 02.06.2022,Global Payments,1.26%
11:04 AM 02.06.2022,Globe Life,-0.14%
11:08 AM 02.06.2022,Goldman Sachs,0.08%
11:09 AM 02.06.2022,Halliburton,-0.85%
11:09 AM 02.06.2022,Hartford Financial Services Group,0.01%
11:09 AM 02.06.2022,Hasbro,0.41%
11:08 AM 02.06.2022,HCA Holdings,0.39%
11:09 AM 02.06.2022,Healthpeak Properties,-1.57%
11:09 AM 02.06.2022,Henry Schein,0.03%
11:09 AM 02.06.2022,Hess,-0.35%
11:09 AM 02.06.2022,Hewlett Packard Enterprise,-7.28%
11:09 AM 02.06.2022,Hilton Worldwide Holdings,0.80%
11:09 AM 02.06.2022,Hologic,0.27%
11:09 AM 02.06.2022,Home Depot,0.12%
11:09 AM 02.06.2022,Honeywell,1.18%
11:09 AM 02.06.2022,Hormel Foods,-5.91%
11:09 AM 02.06.2022,Host Hotels & Resorts,-0.81%
11:09 AM 02.06.2022,Howmet Aerospace,0.59%
11:09 AM 02.06.2022,HP,-2.04%
11:09 AM 02.06.2022,Humana,-0.54%
11:09 AM 02.06.2022,Huntington Bancstocks,0.70%
11:08 AM 02.06.2022,Huntington Ingalls Industries,-0.83%
11:09 AM 02.06.2022,IBM,-0.28%
11:07 AM 02.06.2022,IDEX,1.33%
11:09 AM 02.06.2022,IDEXX Laboratories,1.97%
11:09 AM 02.06.2022,Illinois Tool Works,0.25%
11:09 AM 02.06.2022,Illumina,1.98%
11:09 AM 02.06.2022,Incyte,-2.35%
11:09 AM 02.06.2022,Ingersoll Rand,1.60%
11:09 AM 02.06.2022,Intel,0.42%
11:09 AM 02.06.2022,The Hershey,-1.61%
11:09 AM 02.06.2022,FleetCor Technologies,0.53%
11:09 AM 02.06.2022,FMC,0.90%
11:09 AM 02.06.2022,Ford Motor,1.96%
11:09 AM 02.06.2022,Fortinet,2.55%
11:09 AM 02.06.2022,Fortive,0.96%
11:09 AM 02.06.2022,Fortune Brands Home & Security,1.99%
11:09 AM 02.06.2022,Fox,-1.03%
11:09 AM 02.06.2022,Fox,-0.87%
11:09 AM 02.06.2022,Franklin Resources,0.21%
11:09 AM 02.06.2022,Freeport-McMoRan,4.95%
11:09 AM 02.06.2022,Garmin,1.26%
11:09 AM 02.06.2022,Gartner,1.97%
11:09 AM 02.06.2022,Generac Holdings,7.16%
11:09 AM 02.06.2022,General Dynamics,-0.29%
11:09 AM 02.06.2022,General Electric,-0.09%
11:08 AM 02.06.2022,General Mills,-1.88%
11:09 AM 02.06.2022,General Motors,1.64%
11:09 AM 02.06.2022,Genuine Parts,-0.50%
11:09 AM 02.06.2022,Gilead Sciences,-3.27%
11:09 AM 02.06.2022,Global Payments,1.26%
11:04 AM 02.06.2022,Globe Life,-0.14%
11:08 AM 02.06.2022,Goldman Sachs,0.08%
11:09 AM 02.06.2022,Halliburton,-0.85%
11:09 AM 02.06.2022,Hartford Financial Services Group,0.01%
11:09 AM 02.06.2022,Hasbro,0.41%
11:08 AM 02.06.2022,HCA Holdings,0.39%
11:09 AM 02.06.2022,Healthpeak Properties,-1.57%
11:09 AM 02.06.2022,Henry Schein,0.03%
11:09 AM 02.06.2022,Hess,-0.35%
11:09 AM 02.06.2022,Hewlett Packard Enterprise,-7.28%
11:09 AM 02.06.2022,Hilton Worldwide Holdings,0.80%
11:09 AM 02.06.2022,Hologic,0.27%
11:09 AM 02.06.2022,Home Depot,0.12%
11:09 AM 02.06.2022,Honeywell,1.18%
11:09 AM 02.06.2022,Hormel Foods,-5.91%
11:09 AM 02.06.2022,Host Hotels & Resorts,-0.81%
11:09 AM 02.06.2022,Howmet Aerospace,0.59%
11:09 AM 02.06.2022,HP,-2.04%
11:09 AM 02.06.2022,Humana,-0.54%
11:09 AM 02.06.2022,Huntington Bancstocks,0.70%
11:08 AM 02.06.2022,Huntington Ingalls Industries,-0.83%
11:09 AM 02.06.2022,IBM,-0.28%
11:07 AM 02.06.2022,IDEX,1.33%
11:09 AM 02.06.2022,IDEXX Laboratories,1.97%
11:09 AM 02.06.2022,Illinois Tool Works,0.25%
